"column_name","table_name","proportion_missing"
"rewardsReceiptItemListId","rewardsReceiptItemList",0
"partnerItemId","rewardsReceiptItemList",0
"rewardsProductPartnerId","rewardsReceiptItemList",0.6731018585218268
"pointsPayerId","rewardsReceiptItemList",0.8174614608845988
"metabriteCampaignId","rewardsReceiptItemList",0.8756663304999279
"userFlaggedPrice","rewardsReceiptItemList",0.9569226336262786
"pointsEarned","rewardsReceiptItemList",0.8664457570955194
"competitiveProduct","rewardsReceiptItemList",0.9070739086586947
"needsFetchReview","rewardsReceiptItemList",0.8828699034721221
"finalPrice","rewardsReceiptItemList",0.025068433943235845
"targetPrice","rewardsReceiptItemList",0.9455409883302118
"discountedItemPrice","rewardsReceiptItemList",0.16885175046823225
"originalFinalPrice","rewardsReceiptItemList",0.998703356865005
"itemPrice","rewardsReceiptItemList",0.025068433943235845
"description","rewardsReceiptItemList",0.05489122604811987
"needsFetchReviewReason","rewardsReceiptItemList",0.9684483503817893
"rewardsGroup","rewardsReceiptItemList",0.7506123037026365
"quantityPurchased","rewardsReceiptItemList",0.025068433943235845
"priceAfterCoupon","rewardsReceiptItemList",0.8622676847716467
"userFlaggedDescription","rewardsReceiptItemList",0.9704653508140038
"userFlaggedBarcode","rewardsReceiptItemList",0.951447918167411
"pointsNotAwardedReason","rewardsReceiptItemList",0.9510157037890794
"originalMetaBriteBarcode","rewardsReceiptItemList",0.9897709263794843
"originalMetaBriteItemPrice","rewardsReceiptItemList",0.998703356865005
"originalMetaBriteDescription","rewardsReceiptItemList",0.9985592854055612
"barcode","rewardsReceiptItemList",0.5548191903183979
"competitorTargetGapPoints","rewardsReceiptItemList",1
"brandCode","rewardsReceiptItemList",0.6254142054459012
"itemNumber","rewardsReceiptItemList",0.9779570667050858
"originalMetaBriteQuantityPurchased","rewardsReceiptItemList",0.9978389281083417
"userFlaggedNewItem","rewardsReceiptItemList",0.9534649185996255
"originalReceiptItemText","rewardsReceiptItemList",0.1701483936032272
"userFlaggedQuantity","rewardsReceiptItemList",0.9569226336262786
"preventTargetGapPoints","rewardsReceiptItemList",0.9484224175190895
